Mês;Solicitado;Entregue;Taxa
Janeiro;4360;3627;0,8319
Fevereiro;2262;1909;0,8439
Março;2226;1684;0,7565
Abril;2073;1793;0,8649
Maio;1510;1417;0,9384
Junho;1332;1319;0,9902
Julho;6551;6448;0,9843
Agosto;2620;2479;0,9462
Setembro;1099;1105;1,0055
outubro;1030;1250;1,213592233
